secuencia,grupo,sub_grupo,presta,corr,titulo,anes1,anesben1,anes2,anesben2,anes3,anesben3,equipo,pab,NOMBRE_PRESTACIÓN,total1,bene1,total2,bene2,total3,bene3,valcir11,valcir12,valcir13,valcir21,valcir22,valcir23,valcir31,valcir32,valcir33,valcir41,valcir42,valcir43,CODIGO_PRESTACIÓN
42,1,1,211,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN ONCOLOGIA MEDICA         ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101211
43,1,1,212,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN PSIQUIATRIA ADULTOS (1RA ,26580,10630,34550,18600,42530,26580,0,0,0,0,0,0,0,0,0,0,0,0,101212
45,1,1,213,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN PSIQUIATRIA PEDIATRICA Y ,26580,10630,34550,18600,42530,26580,0,0,0,0,0,0,0,0,0,0,0,0,101213
47,1,1,300,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA OTRAS ESPECIALIDADES                        ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101300
48,1,1,301,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN CARDIOLOGIA              ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101301
49,1,1,302,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN HEMATOLOGIA              ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101302
50,1,1,303,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN INFECTOLOGIA             ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101303
51,1,1,304,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN INMUNOLOGIA              ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101304
52,1,1,305,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA FAMILIAR        ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101305
53,1,1,306,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA FISICA Y        ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101306
55,1,1,307,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA INTERNA         ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101307
56,1,1,308,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN OBSTETRICIA Y GINECOLOGIA,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101308
57,1,1,309,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN PEDIATRIA                ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101309
58,1,1,310,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN TRAUMATOLOGIA Y ORTOPEDIA,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101310
59,1,1,311,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN UROLOGIA                 ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101311
60,1,1,312,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA GENERAL          ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101312
61,1,1,313,0,5,0,0,0,0,0,0,0,0,"CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA DE CABEZA,       ",17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101313
63,1,1,314,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA CARDIOVASCULAR   ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101314
64,1,1,315,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA DE TORAX         ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101315
65,1,1,316,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA PLASTICA Y       ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101316
67,1,1,317,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA PEDIATRICA       ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101317
68,1,1,318,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA VASCULAR         ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101318
70,1,1,319,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN COLOPROCTOLOGIA          ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101319
71,1,1,320,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN DIABETOLOGIA             ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101320
72,1,1,321,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN ENFERMEDADES             ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101321
74,1,1,322,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN ENFERMEDADES             ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101322
76,1,1,323,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN GASTROENTEROLOGIA ADULTO ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101323
77,1,1,324,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN GASTROENTEROLOGIA        ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101324
79,1,1,325,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN GENETICA CLINICA         ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101325
80,1,1,326,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN NEFROLOGIA ADULTO        ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101326
81,1,1,327,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN NEFROLOGIA PEDIATRICO    ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101327
82,1,1,328,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN NEONATOLOGIA             ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101328
83,1,1,329,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN ANESTESIOLOGIA           ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101329
84,1,1,330,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA DE URGENCIA     ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101330
85,1,1,331,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN RADIOTERAPIA ONCOLOGICA  ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101331
86,1,1,332,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN GINECOLOGIA PEDIATRICA Y ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101332
88,1,1,333,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA MATERNO FETAL   ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101333
89,1,1,334,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA NUCLEAR         ,17520,7010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101334
90,1,1,4,0,5,0,0,0,0,0,0,0,0,VISITA MEDICA DOMICILIARIA EN HORARIO HABIL                 ,13200,6600,19150,12550,25530,18930,0,0,0,0,0,0,0,0,0,0,0,0,101004
91,1,1,5,0,5,0,0,0,0,0,0,0,0,VISITA MEDICA DOMICILIARIA EN HORARIO INHABIL               ,19840,9920,28820,18900,38440,28520,0,0,0,0,0,0,0,0,0,0,0,0,101005
92,1,1,6,0,5,0,0,0,0,0,0,0,0,ASISTENCIA DE CARDIOLOGO A CIRUGIAS NO CARDIACAS            ,22740,11370,29560,18190,36380,25010,0,0,0,0,0,0,0,0,0,0,0,0,101006
93,1,1,7,0,5,0,0,0,0,0,0,0,0,ATENCION MEDICA DEL RECIEN NACIDO EN SALA DE PARTO O        ,22740,11370,29560,18190,36380,25010,0,0,0,0,0,0,0,0,0,0,0,0,101007
95,1,1,8,0,5,0,0,0,0,0,0,0,0,VISITA POR MEDICO TRATANTE A PACIENTE HOSPITALIZADO         ,13970,6990,20270,13290,27020,20040,0,0,0,0,0,0,0,0,0,0,0,0,101008
96,1,1,9,0,5,0,0,0,0,0,0,0,0,VISITA POR MEDICO INTERCONSULTOR (O EN JUNTA MEDICA C/U) A  ,13970,6990,20270,13290,27020,20040,0,0,0,0,0,0,0,0,0,0,0,0,101009
98,1,1,10,0,5,0,0,0,0,0,0,0,0,ATENCION MEDICA DIARIA A PACIENTE HOSPITALIZADO             ,11290,5650,12040,6400,14130,8490,0,0,0,0,0,0,0,0,0,0,0,0,101010
100,1,8,1,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICINA GENERAL                               ,9340,3740,10000,4400,11700,6100,0,0,0,0,0,0,0,0,0,0,0,0,108001
101,1,8,201,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN DERMATOLOGIA         ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108201
102,1,8,202,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN GERIATRIA            ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108202
103,1,8,203,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN NEUROCIRUGIA         ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108203
104,1,8,204,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN OFTALMOLOGIA         ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108204
105,1,8,205,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN OTORRINOLARINGOLOGIA ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108205
106,1,8,206,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN REUMATOLOGIA         ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108206
107,1,8,207,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN ENDOCRINOLOGIA ADULTO,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108207
108,1,8,208,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN ENDOCRINOLOGIA       ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108208
110,1,8,209,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN NEUROLOGIA ADULTOS   ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108209
111,1,8,210,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN NEUROLOGIA PEDIATRICA,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108210
112,1,8,211,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN ONCOLOGIA MEDICA     ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108211
113,1,8,212,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN PSIQUIATRIA ADULTOS  ,22590,9040,29370,15820,36140,22590,0,0,0,0,0,0,0,0,0,0,0,0,108212
115,1,8,213,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN PSIQUIATRIA          ,22590,9040,29370,15820,36140,22590,0,0,0,0,0,0,0,0,0,0,0,0,108213
117,1,8,301,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN CARDIOLOGIA          ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108301
118,1,8,302,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN HEMATOLOGIA          ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108302
119,1,8,303,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN INFECTOLOGIA         ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108303
120,1,8,304,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN INMUNOLOGIA          ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108304
121,1,8,305,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA FAMILIAR    ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108305
122,1,8,306,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA FISICA Y    ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108306
124,1,8,307,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA INTERNA     ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108307
125,1,8,308,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN OBSTETRICIA Y        ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108308
127,1,8,309,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN PEDIATRIA            ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108309
128,1,8,310,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN TRAUMATOLOGIA Y      ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108310
130,1,8,311,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN UROLOGIA             ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108311
131,1,8,312,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA GENERAL      ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108312
132,1,8,313,0,5,0,0,0,0,0,0,0,0,"TELECONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA DE CABEZA,   ",14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108313
134,1,8,314,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA              ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108314
136,1,8,315,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA DE TORAX     ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108315
137,1,8,316,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA PLASTICA Y   ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108316
139,1,8,317,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA PEDIATRICA   ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108317
140,1,8,318,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA VASCULAR     ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108318
142,1,8,319,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN COLOPROCTOLOGIA      ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108319
143,1,8,320,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN DIABETOLOGIA         ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108320
144,1,8,321,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN ENFERMEDADES         ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108321
146,1,8,322,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN ENFERMEDADES         ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108322
148,1,8,323,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN GASTROENTEROLOGIA    ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108323
150,1,8,324,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN GASTROENTEROLOGIA    ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108324
152,1,8,325,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN GENETICA CLINICA     ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108325
153,1,8,326,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN NEFROLOGIA ADULTO    ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108326
154,1,8,327,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN NEFROLOGIA PEDIATRICO,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108327
155,1,8,329,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN ANESTESIOLOGIA       ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108329
156,1,8,331,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN RADIOTERAPIA         ,13210,5280,17170,9240,21140,13210,0,0,0,0,0,0,0,0,0,0,0,0,108331
158,1,8,332,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN GINECOLOGIA          ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108332
160,1,8,333,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA MATERNO     ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108333
162,1,8,334,0,5,0,0,0,0,0,0,0,0,TELECONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA NUCLEAR     ,14890,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108334
165,2,1,1,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL CUIDADOS BASICOS.      ,8610,4310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201001
167,2,1,2,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL CUIDADOS BASICOS.      ,7480,3740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201002
169,2,1,101,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL CUIDADOS MEDIOS (SALA  ,14850,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201101
171,2,1,102,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL CUIDADOS MEDIOS (SALA  ,12240,6120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201102
173,2,1,301,0,5,0,0,0,0,0,0,0,0,DIA CAMA HOSPITALIZACION INTEGRAL ADULTO EN UNIDAD DE       ,28100,14050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201301
175,2,1,302,0,5,0,0,0,0,0,0,0,0,DIA CAMA HOSPITALIZACION INTEGRAL PEDIATRICA EN UNIDAD DE   ,28100,14050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201302
177,2,1,303,0,5,0,0,0,0,0,0,0,0,DIA CAMA HOSPITALIZACION INTEGRAL NEONATAL EN UNIDAD DE     ,28100,14050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201303
179,2,1,201,0,5,0,0,0,0,0,0,0,0,DIA CAMA HOSPITALIZACION INTEGRAL ADULTO EN UNIDAD DE       ,58470,29240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201201
181,2,1,202,0,5,0,0,0,0,0,0,0,0,DIA CAMA HOSPITALIZACION INTEGRAL PEDIATRICA EN UNIDAD DE   ,58470,29240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201202
183,2,1,203,0,5,0,0,0,0,0,0,0,0,DIA CAMA HOSPITALIZACION INTEGRAL NEONATAL EN UNIDAD DE     ,58470,29240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201203
185,2,1,401,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION  INTEGRAL OBSTETRICIA (SALA 1   ,8410,4210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201401
187,2,1,402,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL OBSTETRICIA (SALA 2 O  ,7300,3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201402
189,2,1,403,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL SALA CUNA              ,4700,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201403
190,2,1,404,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL INCUBADORA             ,7830,3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201404
191,2,1,405,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL PSIQUIATRIA CUIDADOS   ,4200,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201405
193,2,1,406,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL PSIQUIATRIA CUIDADOS   ,4830,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201406
195,2,1,407,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION INTEGRAL DE OBSERVACION -       ,4700,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201407
197,2,1,408,0,5,0,0,0,0,0,0,0,0,DIA CAMA DE HOSPITALIZACION CLINICA DE RECUPERACION         ,4100,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201408
201,3,1,2,0,5,0,0,0,0,0,0,0,0,ACIDO FOLICO O FOLATOS                                      ,4690,2350,6100,3760,7500,5160,0,0,0,0,0,0,0,0,0,0,0,0,301002
202,3,1,3,0,5,0,0,0,0,0,0,0,0,"ADENOGRAMA, MIELOGRAMA, C/U                                 ",7730,3870,10050,6190,12370,8510,0,0,0,0,0,0,0,0,0,0,0,0,301003
